,word,encodec ec,encodec mel,w2v
0,southern,"['strangely', 'of', 'changes', 'than', 'than']","['suns', 'thirsts', 'others', 'others', 'other']","['senses', 'remonstrances', 'summons', 'scantily', 'substance']"
1,infected,"['had', 'had', 'had', 'had', 'had']","['descend', 'if', 'if', 'if', 'if']","['imitate', 'hemmed', 'ebbed', 'conduct', 'shifted']"
2,permitted,"['did', 'did', 'did', 'did', 'did']","['did', 'did', 'did', 'did', 'did']","['did', 'did', 'did', 'did', 'did']"
3,humbly,"['only', 'only', 'only', 'only', 'only']","['only', 'humble', 'only', 'only', 'only']","['humble', 'humble', 'wholly', 'honey', 'wholly']"
4,approaches,"['singer', 'singer', 'dresses', 'chose', 'rose']","['purpose', 'purpose', 'approach', 'approach', 'purpose']","['approached', 'approached', 'approach', 'serge', 'purpose']"
5,deprived,"['vine', 'adopted', 'coughed', 'manufactured', 'have']","['adopted', 'right', 'tried', 'right', 'drive']","['drive', 'drive', 'improved', 'crept', 'remind']"
6,walnut,"['wall', 'wall', 'all', 'wall', 'all']","['all', 'all', 'all', 'all', 'all']","['hull', 'all', 'one', 'all', 'all']"
7,will,"['were', 'were', 'were', 'were', 'were']","['when', 'when', 'when', 'we', 'when']","['walls', 'hell', 'hell', 'walls', 'awls']"
8,thrust,"['she', 'she', 'she', 'she', 'she']","['first', 'first', 'first', 'first', 'first']","['flashed', 'shut', 'shut', 'shut', 'fresh']"
9,offerings,"['hour', 'home', 'known', 'raw', 'known']","['hour', 'hour', 'hour', 'hour', 'hour']","['awe', 'offering', 'warning', 'warrior', 'hour']"
10,meant,"['men', 'in', 'name', 'in', 'men']","['man', 'man', 'man', 'man', 'man']","['men', 'men', 'men', 'men', 'men']"
11,catch,"['had', 'had', 'had', 'had', 'had']","['check', 'kept', 'kept', 'capture', 'checked']","['kept', 'kept', 'take', 'kept', 'take']"
12,memories,"['army', 'army', 'me', 'room', 'me']","['me', 'me', 'me', 'me', 'me']","['news', 'news', 'news', 'dungeon', 'me']"
13,manager,"['mirrors', 'mirrors', 'measure', 'in', 'in']","['drainage', 'measure', 'measure', 'manner', 'manner']","['matter', 'matter', 'matter', 'man', 'man']"
14,grey,"['were', 'were', 'were', 'were', 'air']","['great', 'great', 'great', 'great', 'great']","['great', 'great', 'great', 'great', 'great']"
15,at,"['a', 'a', 'a', 'a', 'the']","['out', 'out', 'out', 'out', 'out']","['out', 'out', 'out', 'out', 'out']"
16,inexplicable,"['awake', 'awake', 'blow', 'bundled', 'respectable']","['respectable', 'pickled', 'little', 'pickle', 'little']","['little', 'little', 'little', 'little', 'little']"
17,ripe,"['right', 'right', 'right', 'right', 'beg']","['right', 'right', 'right', 'right', 'right']","['rope', 'rod', 'records', 'right', 'white']"
18,fast,"['half', 'half', 'half', 'half', 'half']","['half', 'half', 'half', 'half', 'half']","['fastened', 'site', 'fat', 'past', 'half']"
19,stature,"['sir', 'sir', 'sir', 'sir', 'sir']","['her', 'her', 'her', 'her', 'her']","['her', 'sierra', 'her', 'scriptures', 'her']"
20,vanished,"['mens', 'men', 'men', 'men', 'men']","['man', 'man', 'man', 'man', 'man']","['vanish', 'dashed', 'finished', 'hang', 'imagine']"
21,and,"['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']","['in', 'in', 'in', 'in', 'in']"
22,strode,"['store', 'mood', 'mood', 'air', 'raw']","['stray', 'sorcery', 'so', 'stray', 'so']","['strewed', 'stored', 'serge', 'stretched', 'swell']"
23,maize,"['aid', 'made', 'aid', 'made', 'made']","['main', 'main', 'made', 'main', 'made']","['his', 'his', 'his', 'his', 'his']"
24,position,"['should', 'should', 'should', 'should', 'should']","['is', 'is', 'his', 'is', 'is']","['diseases', 'simmonds', 'misuse', 'disposition', 'evinced']"
25,prosecution,"['she', 'she', 'she', 'she', 'she']","['portion', 'churches', 'churches', 'churches', 'perpetual']","['chef', 'tuition', 'promiscuous', 'phases', 'sensation']"
26,shed,"['head', 'eh', 'shut', 'head', 'head']","['head', 'head', 'head', 'head', 'head']","['head', 'head', 'head', 'head', 'head']"
27,possess,"['slices', 'is', 'slices', 'is', 'is']","['slices', 'slices', 'slices', 'is', 'slices']","['assessed', 'as', 'as', 'as', 'as']"
28,cooked,"['hut', 'pit', 'fetes', 'box', 'box']","['quick', 'hut', 'coat', 'took', 'coat']","['thickened', 'thick', 'kick', 'thick', 'thick']"
29,adventures,"['provincial', 'image', 'of', 'winters', 'of']","['of', 'of', 'of', 'of', 'of']","['to', 'phases', 'deserted', 'to', 'sutter']"
30,piano,"['ann', 'man', 'ann', 'ann', 'man']","['you', 'you', 'you', 'you', 'you']","['tahoe', 'sierra', 'alimony', 'mom', 'dough']"
31,limb,"['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']","['little', 'little', 'little', 'little', 'little']"
32,estimation,"['she', 'she', 'she', 'she', 'she']","['ancient', 'ancient', 'ancient', 'ancient', 'ancient']","['aidan', 'vindicated', 'egyptian', 'altercation', 'intention']"
33,salvation,"['i', 'i', 'i', 'usual', 'i']","['whales', 'valentine', 'sanctuary', 'herself', 'slices']","['fervor', 'secesh', 'recesses', 'sylvan', 'steal']"
34,sydenham,"['line', 'on', 'on', 'on', 'on']","['him', 'him', 'him', 'him', 'him']","['them', 'them', 'them', 'them', 'them']"
35,poetry,"['her', 'her', 'her', 'her', 'her']","['true', 'true', 'true', 'true', 'true']","['ink', 'features', 'contingent', 'creature', 'reappear']"
