,word,encodec Encodec,Encodec Mel,w2v
0,sonnet,"['some', 'some', 'some', 'some', 'some']","['son', 'son', 'son', 'son', 'son']","['amount', 'sauce', 'sauce', 'sunrise', 'on']"
1,ancestral,"['sunrise', 'known', 'founded', 'man', 'loves']","['sunrise', 'ants', 'similar', 'grandparents', 'lamp']","['senses', 'external', 'thence', 'mosaic', 'remonstrances']"
2,strangeness,"['she', 'she', 'she', 'she', 'she']","['sustains', 'strange', 'strange', 'strange', 'strangest']","['suspicion', 'suspicion', 'serge', 'assumes', 'secesh']"
3,hi,"['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']","['i', 'i', 'i', 'i', 'i']"
4,clams,"['wines', 'wines', 'wines', 'wine', 'wine']","['wines', 'wines', 'wines', 'wine', 'wine']","['wines', 'wines', 'wines', 'class', 'cells']"
5,tapped,"['half', 'half', 'half', 'half', 'half']","['half', 'half', 'half', 'half', 'half']","['packed', 'packed', 'kept', 'kept', 'kept']"
6,corresponding,"['steady', 'space', 'finely', 'oath', 'mention']","['striking', 'adopted', 'winding', 'armed', 'tartaric']","['morsel', 'composed', 'amount', 'sponsa', 'solve']"
7,drunkard,"['room', 'room', 'yard', 'room', 'room']","['draw', 'drugs', 'draw', 'yard', 'barrel']","['cupboard', 'gorge', 'gorge', 'drunk', 'ogre']"
8,heady,"['he', 'he', 'he', 'he', 'he']","['he', 'he', 'he', 'he', 'had']","['head', 'aidan', 'head', 'he', 'head']"
9,sunburnt,"['settler', 'pardon', 'button', 'organ', 'on']","['our', 'our', 'our', 'our', 'our']","['earn', 'earn', 'unborn', 'beloved', 'honored']"
10,sear,"['are', 'are', 'daring', 'are', 'are']","['see', 'see', 'see', 'see', 'see']","['see', 'see', 'see', 'see', 'see']"
11,extricating,"['yankee', 'yankee', 'indicate', 'had', 'had']","['getting', 'getting', 'getting', 'getting', 'getting']","['ink', 'communicating', 'eddying', 'yankees', 'yankees']"
12,jews,"['you', 'you', 'you', 'you', 'you']","['use', 'used', 'used', 'use', 'you']","['use', 'use', 'use', 'use', 'trees']"
13,arises,"['were', 'were', 'were', 'were', 'were']","['rely', 'is', 'is', 'is', 'is']","['rise', 'rise', 'rise', 'arose', 'arose']"
14,rhodes,"['theirs', 'garlic', 'you', 'river', 'you']","['ewes', 'ewes', 'road', 'wines', 'road']","['roads', 'dough', 'balls', 'deserve', 'romans']"
15,appreciated,"['she', 'she', 'she', 'she', 'she']","['period', 'period', 'period', 'period', 'period']","['created', 'degraded', 'originated', 'created', 'created']"
16,fee,"['you', 'you', 'you', 'you', 'you']","['see', 'see', 'see', 'see', 'see']","['faith', 'ease', 'faith', 'faith', 'feel']"
17,floating,"['invading', 'line', 'a', 'unsolved', 'in']","['low', 'low', 'low', 'low', 'low']","['load', 'glued', 'looming', 'breeding', 'gold']"
18,trifling,"['avoided', 'trial', 'mainly', 'clearly', 'necessarily']","['highly', 'e', 'feel', 'fairly', 'trial']","['rifle', 'fly', 'triumphant', 'clerical', 'repairing']"
19,eventually,"['onion', 'view', 'roll', 'van', 'indian']","['easy', 'earlier', 'easy', 'view', 'newly']","['in', 'in', 'in', 'in', 'in']"
20,civilian,"['the', 'the', 'the', 'the', 'in']","['a', 'a', 'a', 'a', 'a']","['the', 'the', 'the', 'the', 'the']"
21,contrive,"['try', 'try', 'tried', 'try', 'try']","['tried', 'tried', 'tried', 'tried', 'tried']","['try', 'try', 'tried', 'try', 'try']"
22,naples,"['lawyers', 'rails', 'milborough', 'eh', 'reigns']","['rails', 'lawyers', 'zeal', 'milborough', 'buckles']","['walls', 'balls', 'walls', 'walls', 'rails']"
23,intermezzo,"['narrow', 'in', 'in', 'in', 'noon']","['in', 'in', 'in', 'in', 'in']","['senses', 'beloved', 'mosaic', 'remonstrances', 'attendance']"
24,wench,"['way', 'reviewer', 'way', 'way', 'leash']","['leash', 'slush', 'furnished', 'dish', 'dish']","['leash', 'parish', 'teepee', 'twin', 'me']"
25,lassitude,"['leagues', 'intensity', 'souls', 'alternative', 'sacred']","['last', 'last', 'last', 'last', 'last']","['recesses', 'contingent', 'thousand', 'suns', 'assistant']"
