,word,encodec
0,pouring,"['wall', 'wall', 'wall', 'warm', 'more']"
1,afternoon,"['knew', 'knew', 'knew', 'knew', 'knew']"
2,doth,"['of', 'of', 'of', 'of', 'of']"
3,means,"['mean', 'mean', 'indian', 'indian', 'mean']"
4,strength,"['swiss', 'flown', 'for', 'finer', 'restraint']"
5,completely,"['sweet', 'sweet', 'be', 'we', 'be']"
6,so,"['bill', 'well', 'well', 'well', 'well']"
7,france,"['fain', 'forth', 'sins', 'swim', 'man']"
8,george,"['were', 'were', 'were', 'were', 'were']"
9,readily,"['little', 'little', 'little', 'little', 'little']"
10,spite,"['lads', 'loud', 'aid', 'i', 'stacy']"
11,flour,"['fire', 'fire', 'fire', 'fire', 'fire']"
12,hundred,"['her', 'her', 'her', 'her', 'her']"
13,lose,"['knew', 'knew', 'knew', 'knew', 'knew']"
14,time,"['on', 'on', 'on', 'on', 'on']"
15,dog,"['ball', 'ball', 'ball', 'rod', 'rod']"
16,shaggy,"['age', 'age', 'age', 'aid', 'age']"
17,manner,"['are', 'are', 'are', 'are', 'man']"
18,power,"['are', 'are', 'are', 'are', 'are']"
19,joy,"['carrie', 'carrie', 'you', 'carrie', 'you']"
20,captain,"['in', 'in', 'in', 'in', 'in']"
21,water,"['all', 'all', 'raw', 'all', 'all']"
22,flow,"['little', 'little', 'little', 'little', 'little']"
23,few,"['you', 'you', 'you', 'you', 'you']"
24,little,"['low', 'low', 'a', 'will', 'a']"
25,beneath,"['meekin', 'meekin', 'in', 'in', 'in']"
26,company,"['means', 'means', 'means', 'reign', 'means']"
27,themselves,"['another', 'another', 'another', 'oil', 'oil']"
28,caught,"['half', 'half', 'how', 'how', 'how']"
29,something,"['a', 'a', 'a', 'a', 'a']"
30,take,"['cake', 'pays', 'he', 'he', 'he']"
31,age,"['day', 'day', 'day', 'day', 'day']"
32,amid,"['dug', 'and', 'muttering', 'admitted', 'ned']"
33,rode,"['a', 'were', 'a', 'a', 'a']"
34,david,"['would', 'would', 'would', 'would', 'would']"
35,city,"['see', 'see', 'see', 'sea', 'see']"
36,parish,"['sure', 'short', 'it', 'sure', 'sure']"
37,children,"['jim', 'addition', 'would', 'would', 'would']"
38,handsome,"['him', 'him', 'him', 'him', 'him']"
39,hat,"['hay', 'head', 'head', 'high', 'head']"
40,muddy,"['my', 'my', 'my', 'my', 'my']"
41,disagreeable,"['render', 'a', 'yard', 'a', 'withdrawn']"
42,chestnuts,"['rust', 'health', 'suppress', 'rails', 'tails']"
43,dresser,"['her', 'her', 'her', 'her', 'her']"
44,large,"['all', 'all', 'all', 'all', 'all']"
45,choose,"['you', 'you', 'you', 'you', 'you']"
46,yellow,"['all', 'loaf', 'all', 'all', 'all']"
47,tree,"['she', 'she', 'she', 'she', 'she']"
48,delicate,"['allow', 'allow', 'luggage', 'jug', 'bread']"
49,needed,"['inn', 'inn', 'in', 'in', 'in']"
50,days,"['day', 'gorge', 'gorge', 'age', 'day']"
51,sunset,"['ascended', 'trials', 'ellis', 'sins', 'man']"
52,soldiers,"['is', 'is', 'is', 'is', 'is']"
53,below,"['little', 'little', 'little', 'little', 'little']"
54,built,"['the', 'but', 'but', 'but', 'the']"
55,progress,"['arose', 'loyal', 'court', 'charm', 'grew']"
56,fire,"['are', 'are', 'are', 'are', 'are']"
57,anywhere,"['inn', 'inn', 'room', 'water', 'water']"
58,coming,"['on', 'on', 'on', 'on', 'on']"
59,remarked,"['were', 'were', 'were', 'were', 'were']"
60,cord,"['wall', 'wall', 'wall', 'roar', 'war']"
61,against,"['sick', 'sick', 'occurrences', 'sticks', 'biggest']"
62,pity,"['he', 'he', 'he', 'he', 'he']"
63,object,"['objects', 'to', 'to', 'to', 'to']"
64,indifference,"['ann', 'ann', 'ann', 'narrow', 'in']"
65,colonel,"['were', 'were', 'were', 'were', 'were']"
66,increased,"['you', 'you', 'you', 'you', 'you']"
67,mentioned,"['ginger', 'lemon', 'she', 'she', 'she']"
68,cloud,"['hall', 'bough', 'hall', 'hood', 'hide']"
69,ready,"['eh', 'loyally', 'loyal', 'marry', 'married']"
70,see,"['he', 'he', 'was', 'was', 'he']"
71,lady,"['aid', 'ease', 'he', 'he', 'he']"
72,awaited,"['away', 'away', 'away', 'away', 'away']"
73,many,"['in', 'in', 'name', 'name', 'in']"
