,word,encodec
0,treated,"['it', 'should', 'distress', 'should', 'it']"
1,adding,"['mayonnaise', 'mayonnaise', 'and', 'mayonnaise', 'in']"
2,room,"['were', 'were', 'were', 'were', 'were']"
3,rock,"['raw', 'all', 'all', 'all', 'are']"
4,old,"['all', 'all', 'all', 'all', 'all']"
5,corner,"['are', 'were', 'were', 'were', 'are']"
6,escape,"['sticky', 'citizen', 'see', 'see', 'see']"
7,button,"['buttoned', 'in', 'line', 'in', 'in']"
8,fact,"['back', 'back', 'back', 'back', 'back']"
9,who,"['he', 'he', 'he', 'he', 'he']"
10,nations,"['she', 'she', 'she', 'she', 'she']"
11,wild,"['lot', 'lot', 'well', 'well', 'well']"
12,meanwhile,"['all', 'all', 'all', 'all', 'all']"
13,o,"['a', 'a', 'a', 'a', 'a']"
14,taking,"['he', 'he', 'he', 'he', 'he']"
15,since,"['so', 'so', 'so', 'so', 'so']"
16,saying,"['singing', 'singing', 'singing', 'hay', 'e']"
17,masses,"['as', 'as', 'as', 'as', 'union']"
18,house,"['had', 'had', 'had', 'had', 'had']"
19,water,"['all', 'all', 'raw', 'all', 'all']"
20,weight,"['what', 'what', 'waving', 'it', 'what']"
21,completely,"['sweet', 'sweet', 'be', 'we', 'be']"
22,countenance,"['commanded', 'handed', 'task', 'command', 'demand']"
23,waiting,"['mean', 'mean', 'mean', 'hangings', 'aid']"
24,intercourse,"['brazen', 'essential', 'indistinct', 'for', 'yard']"
25,people,"['pupils', 'walls', 'cool', 'walls', 'accord']"
26,take,"['cake', 'pays', 'he', 'he', 'he']"
27,broke,"['picked', 'creditor', 'thrilled', 'borrowed', 'dropping']"
28,held,"['had', 'had', 'had', 'had', 'had']"
29,full,"['all', 'all', 'all', 'all', 'all']"
30,walked,"['were', 'were', 'were', 'were', 'were']"
31,toast,"['mode', 'mode', 'mode', 'mode', 'mode']"
32,wishing,"['mean', 'mean', 'mean', 'mean', 'mean']"
33,eighteen,"['eat', 'eat', 'eat', 'eat', 'eat']"
34,young,"['am', 'am', 'hung', 'am', 'am']"
35,ground,"['row', 'inn', 'inn', 'nile', 'row']"
36,check,"['picked', 'up', 'up', 'up', 'up']"
37,white,"['i', 'i', 'i', 'i', 'i']"
38,see,"['he', 'he', 'was', 'was', 'he']"
39,tried,"['i', 'loyal', 'i', 'i', 'i']"
40,ginger,"['garnish', 'garnish', 'chef', 'chef', 'measure']"
41,cruel,"['whole', 'ghoul', 'whole', 'whole', 'whole']"
42,leagues,"['see', 'see', 'see', 'see', 'see']"
43,danger,"['narrow', 'reign', 'inn', 'mortar', 'litter']"
44,nature,"['raining', 'prayer', 'mating', 'her', 'warrior']"
45,large,"['all', 'all', 'all', 'all', 'all']"
46,during,"['are', 'are', 'are', 'are', 'are']"
47,mood,"['knew', 'knew', 'knew', 'knew', 'knew']"
48,smiled,"['line', 'line', 'sky', 'i', 'i']"
49,tired,"['are', 'are', 'are', 'i', 'are']"
50,sweet,"['she', 'she', 'she', 'you', 'you']"
51,questions,"['she', 'she', 'she', 'she', 'she']"
52,live,"['the', 'related', 'eleventh', 'allay', 'is']"
53,more,"['were', 'were', 'were', 'were', 'were']"
54,still,"['little', 'little', 'little', 'little', 'little']"
55,woodley,"['lay', 'lay', 'lay', 'will', 'will']"
56,sort,"['soon', 'soon', 'soon', 'suffocate', 'soon']"
57,gently,"['in', 'onion', 'in', 'in', 'islands']"
58,looking,"['do', 'do', 'do', 'do', 'do']"
59,front,"['e', 'frog', 'birth', 'avenue', 'wet']"
60,aromatic,"['are', 'are', 'are', 'onion', 'merlin']"
61,assure,"['air', 'show', 'show', 'show', 'show']"
62,message,"['guess', 'enlist', 'missus', 'missus', 'distress']"
63,tightly,"['e', 'at', 'i', 'at', 'at']"
64,alexander,"['arrange', 'had', 'had', 'am', 'am']"
65,separate,"['sauce', 'sauce', 'sauce', 'sauce', 'saucepan']"
66,tree,"['she', 'she', 'she', 'she', 'she']"
67,name,"['rein', 'reign', 'me', 'me', 'me']"
68,cord,"['wall', 'wall', 'wall', 'roar', 'war']"
69,vulgar,"['old', 'old', 'old', 'old', 'old']"
70,suffered,"['emperors', 'protected', 'signs', 'sacred', 'forgotten']"
71,firing,"['e', 'daring', 'i', 'i', 'i']"
72,remembered,"['mere', 'arrange', 'knew', 'knew', 'knew']"
73,wine,"['alarm', 'honour', 'home', 'high', 'alarm']"
74,none,"['knowing', 'men', 'men', 'known', 'the']"
75,church,"['she', 'she', 'she', 'she', 'she']"
76,fuchs,"['was', 'saxons', 'faint', 'was', 'conflicts']"
77,own,"['knew', 'knew', 'knew', 'knew', 'knew']"
78,door,"['are', 'are', 'are', 'are', 'are']"
79,pleasure,"['addressed', 'shared', 'share', 'strong', 'employ']"
80,finding,"['i', 'vine', 'i', 'i', 'i']"
81,yes,"['us', 'us', 'us', 'us', 'us']"
