,word,w2v
0,ursus,"['us', 'us', 'us', 'us', 'us']"
1,eldest,"['his', 'his', 'his', 'his', 'his']"
2,streets,"['street', 'street', 'street', 'street', 'street']"
3,onward,"['on', 'on', 'on', 'on', 'on']"
4,test,"['sees', 'set', 'sees', 'set', 'sits']"
5,consult,"['salt', 'salted', 'salt', 'salt', 'salt']"
6,hail,"['lisha', 'hills', 'hangar', 'tale', 'sutter']"
7,soup,"['sweet', 'sweet', 'suit', 'sweet', 'soups']"
8,tad,"['head', 'head', 'head', 'head', 'head']"
9,yankee,"['yankees', 'yankees', 'yankees', 'ink', 'any']"
10,cabbage,"['carriage', 'age', 'age', 'age', 'age']"
11,material,"['superior', 'attending', 'messrs', 'convolvulus', 'spiritual']"
12,odd,"['out', 'out', 'out', 'out', 'out']"
